steps: 3757	, reward: 2353.0
steps: 2112	, reward: 2064.0
steps: 2202	, reward: 1907.0
steps: 1972	, reward: 1372.0
steps: 2051	, reward: 1753.0
steps: 2229	, reward: 1971.0
steps: 2252	, reward: 2144.0
steps: 1789	, reward: 1392.0
steps: 2623	, reward: 1367.0
steps: 1839	, reward: 1671.0
steps: 2267	, reward: 2159.0
steps: 2611	, reward: 2773.0
steps: 2295	, reward: 2107.0
steps: 3901	, reward: 2784.0
steps: 2551	, reward: 2938.0
steps: 2130	, reward: 1461.0
steps: 1545	, reward: 958.0
steps: 2311	, reward: 1855.0
steps: 2414	, reward: 2040.0
steps: 11019	, reward: 2769.0
steps: 12250	, reward: 1875.0
steps: 4807	, reward: 1357.0
steps: 4255	, reward: 1908.0
steps: 1885	, reward: 1719.0
steps: 2204	, reward: 1878.0
steps: 2398	, reward: 2418.0
steps: 2118	, reward: 1640.0
steps: 1781	, reward: 1366.0
steps: 2305	, reward: 2399.0
steps: 2328	, reward: 2424.0
steps: 1975	, reward: 1359.0
steps: 2104	, reward: 2056.0
steps: 2222	, reward: 1879.0
steps: 3201	, reward: 3027.0
steps: 2182	, reward: 1375.0
steps: 2211	, reward: 2288.0
steps: 1698	, reward: 1312.0
steps: 10750	, reward: 1516.0
steps: 1971	, reward: 1644.0
steps: 2095	, reward: 1515.0
steps: 2144	, reward: 1895.0
steps: 11173	, reward: 2458.0
steps: 2332	, reward: 2465.0
steps: 2331	, reward: 1356.0
steps: 2141	, reward: 2046.0
steps: 2786	, reward: 1897.0
steps: 2004	, reward: 1440.0
steps: 2699	, reward: 2580.0
steps: 1953	, reward: 1358.0
steps: 2170	, reward: 1453.0
steps: 2241	, reward: 2180.0
steps: 2739	, reward: 2340.0
steps: 2199	, reward: 1484.0
steps: 2370	, reward: 1612.0
steps: 11057	, reward: 2892.0
steps: 2653	, reward: 1373.0
steps: 10016	, reward: 2431.0
steps: 11234	, reward: 2292.0
steps: 10933	, reward: 2120.0
steps: 2163	, reward: 1945.0
steps: 3098	, reward: 3311.0
steps: 2458	, reward: 2307.0
steps: 2279	, reward: 1959.0
steps: 2491	, reward: 1606.0
steps: 2048	, reward: 1604.0
steps: 11839	, reward: 4114.0
steps: 10931	, reward: 2285.0
steps: 11818	, reward: 3112.0
steps: 1882	, reward: 1436.0
steps: 2535	, reward: 2564.0
steps: 3213	, reward: 3006.0
steps: 2528	, reward: 2366.0
steps: 2111	, reward: 1715.0
steps: 2076	, reward: 1697.0
steps: 1951	, reward: 1369.0
steps: 1973	, reward: 1372.0
steps: 20448	, reward: 2900.0
steps: 1973	, reward: 1366.0
steps: 2573	, reward: 2682.0
steps: 2015	, reward: 1487.0
steps: 1907	, reward: 1481.0
steps: 3072	, reward: 3292.0
steps: 2643	, reward: 2929.0
steps: 3183	, reward: 3735.0
steps: 11238	, reward: 2801.0
steps: 11456	, reward: 2096.0
steps: 2227	, reward: 1955.0
steps: 11446	, reward: 2287.0
steps: 21242	, reward: 3665.0
steps: 2091	, reward: 1971.0
steps: 11648	, reward: 2316.0
steps: 1988	, reward: 1615.0
steps: 11588	, reward: 3629.0
steps: 11057	, reward: 2918.0
steps: 11811	, reward: 2755.0
steps: 2523	, reward: 2892.0
steps: 11694	, reward: 2552.0
steps: 11489	, reward: 3489.0
steps: 20633	, reward: 3405.0
steps: 11188	, reward: 2701.0
steps: 2317	, reward: 2606.0
steps: 10996	, reward: 2182.0
steps: 10985	, reward: 2159.0
